state,city,locality,area_sqft,bedrooms,bathrooms,parking,property_age_years,property_type,furnishing,floor_no,total_floors,price_inr
Assam,Guwahati,Dispur,768,3,2,2,1,Apartment,Unfurnished,22,23,4639000.0
Karnataka,Bengaluru,Hebbal,685,3,3,1,1,Independent House,Furnished,1,5,6345000.0
Punjab,Ludhiana,Sarabha Nagar,796,2,1,1,2,Apartment,Semi-Furnished,9,15,6685000.0
Manipur,Imphal,Lamphelpat,896,2,1,1,0,Apartment,Unfurnished,8,9,2455000.0
Madhya Pradesh,Indore,Rau,1540,2,1,2,0,Builder Floor,Semi-Furnished,6,14,5981000.0
Karnataka,Bengaluru,Hebbal,1918,1,1,3,2,Independent House,Semi-Furnished,3,18,16346000.0
Haryana,Gurugram,DLF Phase 1,1090,3,3,2,25,Builder Floor,Unfurnished,3,18,11152000.0
Bihar,Patna,Boring Road,445,5,4,1,0,Independent House,Semi-Furnished,3,18,3280000.0
Meghalaya,Shillong,Laitumkhrah,1357,4,5,1,2,Builder Floor,Unfurnished,6,7,7384000.0
Goa,Margao,Borda,1432,2,2,2,5,Apartment,Semi-Furnished,11,15,9762000.0
Sikkim,Gangtok,MG Marg,639,5,4,3,25,Apartment,Furnished,24,28,4233000.0
Arunachal Pradesh,Itanagar,Chandranagar,1491,2,1,2,8,Builder Floor,Furnished,7,14,4456000.0
Andhra Pradesh,Vijayawada,Auto Nagar,1218,3,3,2,18,Apartment,Unfurnished,9,27,3781000.0
Gujarat,Surat,Adajan,1033,3,3,2,0,Independent House,Furnished,22,27,7695000.0
Uttar Pradesh,Kanpur,Civil Lines,1470,3,3,2,8,Apartment,Semi-Furnished,11,18,8429000.0
Punjab,Chandigarh,Sector 35,834,1,2,0,1,Builder Floor,Furnished,21,22,8678000.0
Karnataka,Bengaluru,Electronic City,1635,3,3,0,25,Apartment,Semi-Furnished,8,9,7421000.0
Delhi,New Delhi,Saket,350,3,2,3,8,Independent House,Semi-Furnished,16,17,7655000.0
Jharkhand,Ranchi,Lalpur,945,2,3,2,1,Villa,Furnished,17,18,7407000.0
Madhya Pradesh,Bhopal,Arera Colony,1952,2,2,1,8,Independent House,Unfurnished,13,16,9849000.0
Kerala,Thiruvananthapuram,Kowdiar,1280,2,1,1,18,Apartment,Unfurnished,14,28,6651000.0
Chandigarh,Chandigarh City,Sector 21,350,3,2,1,0,Apartment,Unfurnished,24,25,3032000.0
Arunachal Pradesh,Itanagar,Naharlagun,850,4,3,3,18,Independent House,Unfurnished,5,20,2146000.0
Karnataka,Mysuru,Vijayanagar,350,2,3,1,2,Apartment,Semi-Furnished,8,9,1937000.0
Gujarat,Surat,Adajan,1637,3,3,1,0,Villa,Furnished,11,12,14692000.0
West Bengal,Kolkata,Ballygunge,1449,3,3,0,12,Villa,Semi-Furnished,11,12,26442000.0
Rajasthan,Jaipur,Vaishali Nagar,1910,1,1,1,12,Apartment,Semi-Furnished,4,18,8700000.0
Andhra Pradesh,Visakhapatnam,Madhurawada,1733,2,1,2,1,Apartment,Unfurnished,11,12,8582000.0
Maharashtra,Mumbai,Bandra,1374,2,2,2,25,Apartment,Unfurnished,6,7,37745000.0
Meghalaya,Shillong,Police Bazar,2056,3,3,3,8,Apartment,Semi-Furnished,8,29,12653000.0
Arunachal Pradesh,Itanagar,Naharlagun,1458,3,3,2,8,Independent House,Unfurnished,12,13,4866000.0
Gujarat,Ahmedabad,Navrangpura,1338,4,4,1,5,Builder Floor,Furnished,22,23,11959000.0
Gujarat,Ahmedabad,Vastrapur,1516,2,3,2,1,Apartment,Semi-Furnished,16,18,14803000.0
Chandigarh,Chandigarh City,Sector 9,405,2,2,0,1,Apartment,Semi-Furnished,8,20,5240000.0
Rajasthan,Udaipur,Fatehpura,1744,4,3,3,2,Builder Floor,Unfurnished,24,25,10915000.0
Himachal Pradesh,Shimla,Mall Road,546,2,1,2,12,Independent House,Semi-Furnished,19,21,5045000.0
Mizoram,Aizawl,Chanmari,1417,4,5,1,12,Apartment,Semi-Furnished,21,22,4700000.0
Gujarat,Surat,Adajan,691,4,4,1,8,Apartment,Semi-Furnished,23,24,3917000.0
Arunachal Pradesh,Itanagar,Ganga Market,788,1,2,0,5,Apartment,Unfurnished,7,29,2796000.0
Nagaland,Kohima,Dimapur Road,1267,2,2,1,5,Apartment,Furnished,12,13,3779000.0
Goa,Panaji,Caranzalem,1709,5,6,2,5,Independent House,Unfurnished,17,18,18360000.0
Uttar Pradesh,Lucknow,Alambagh,635,2,2,3,8,Builder Floor,Semi-Furnished,0,6,2598000.0
Ladakh,Leh,Skara,1089,2,1,2,1,Apartment,Semi-Furnished,20,21,4136000.0
Bihar,Patna,Boring Road,2576,2,3,2,1,Independent House,Unfurnished,22,25,20991000.0
Bihar,Patna,Boring Road,1439,2,2,1,8,Independent House,Unfurnished,10,24,9116000.0
Uttar Pradesh,Lucknow,Hazratganj,1776,4,4,3,0,Apartment,Semi-Furnished,12,13,18076000.0
Andaman and Nicobar Islands,Port Blair,Aberdeen Bazaar,1389,2,1,2,5,Apartment,Unfurnished,6,26,6815000.0
Haryana,Gurugram,Golf Course Road,1730,2,2,0,1,Apartment,Unfurnished,22,23,26519000.0
Punjab,Ludhiana,Model Town,1674,2,2,0,8,Apartment,Unfurnished,1,23,10559000.0
Goa,Panaji,Caranzalem,1750,3,2,3,8,Villa,Unfurnished,10,11,22377000.0
Mizoram,Aizawl,Dawrpui,350,3,4,1,2,Builder Floor,Semi-Furnished,18,19,1342000.0
Punjab,Chandigarh,Sector 17,1569,2,3,1,1,Independent House,Unfurnished,20,21,20476000.0
Rajasthan,Jaipur,Vaishali Nagar,1643,2,1,1,12,Apartment,Unfurnished,14,15,7026000.0
Assam,Guwahati,Khanapara,731,5,6,2,8,Villa,Unfurnished,17,20,4168000.0
Punjab,Chandigarh,Sector 22,727,3,3,0,1,Independent House,Semi-Furnished,15,16,7451000.0
Maharashtra,Pune,Wakad,644,1,1,2,1,Independent House,Unfurnished,13,15,4824000.0
Delhi,New Delhi,Karol Bagh,885,3,4,1,5,Independent House,Semi-Furnished,17,18,13295000.0
Arunachal Pradesh,Itanagar,Chandranagar,1181,3,3,1,2,Builder Floor,Unfurnished,24,25,3627000.0
Goa,Panaji,Dona Paula,394,4,3,1,1,Apartment,Furnished,13,14,6263000.0
Mizoram,Aizawl,Chanmari,1244,1,1,2,2,Independent House,Furnished,3,28,5372000.0
Bihar,Patna,Boring Road,809,1,1,1,5,Apartment,Unfurnished,8,9,5396000.0
Sikkim,Gangtok,MG Marg,1623,3,3,1,5,Builder Floor,Unfurnished,23,24,13532000.0
Jammu and Kashmir,Srinagar,Rajbagh,885,4,5,1,12,Apartment,Furnished,4,5,6252000.0
Haryana,Faridabad,Greenfield Colony,350,5,5,2,1,Apartment,Semi-Furnished,15,25,2480000.0
Andhra Pradesh,Visakhapatnam,MVP Colony,1501,2,3,2,8,Builder Floor,Unfurnished,24,25,9594000.0
Andhra Pradesh,Visakhapatnam,MVP Colony,748,3,3,1,18,Builder Floor,Semi-Furnished,24,25,3848000.0
Jharkhand,Ranchi,Lalpur,1048,4,4,3,5,Apartment,Furnished,1,19,6072000.0
Tamil Nadu,Coimbatore,Peelamedu,1084,2,2,1,2,Independent House,Furnished,3,29,7573000.0
Maharashtra,Mumbai,Powai,868,2,2,1,8,Apartment,Unfurnished,18,19,17419000.0
Gujarat,Ahmedabad,Vastrapur,1665,2,2,0,12,Independent House,Semi-Furnished,3,25,14662000.0
Andaman and Nicobar Islands,Port Blair,Aberdeen Bazaar,1107,2,2,3,1,Independent House,Unfurnished,13,14,6441000.0
Haryana,Faridabad,Sector 15,350,2,1,1,12,Apartment,Unfurnished,6,12,1825000.0
Rajasthan,Udaipur,Hiran Magri,667,2,3,1,5,Independent House,Unfurnished,23,24,3633000.0
Odisha,Bhubaneswar,Chandrasekharpur,540,2,1,1,18,Apartment,Unfurnished,8,9,2177000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Nani Daman,678,1,1,2,5,Apartment,Semi-Furnished,9,26,3852000.0
Assam,Guwahati,Beltola,1797,3,3,2,0,Apartment,Semi-Furnished,3,4,11795000.0
Haryana,Faridabad,Greenfield Colony,867,3,3,3,2,Independent House,Semi-Furnished,20,21,5379000.0
Karnataka,Mysuru,Kuvempunagar,557,2,2,0,5,Apartment,Unfurnished,11,18,2601000.0
Jammu and Kashmir,Srinagar,Rajbagh,2169,4,3,1,0,Independent House,Furnished,19,20,16533000.0
Assam,Guwahati,Beltola,1716,4,4,2,1,Apartment,Unfurnished,22,23,8679000.0
Puducherry,Puducherry City,Lawspet,1442,1,1,1,5,Apartment,Unfurnished,19,20,8955000.0
Jammu and Kashmir,Srinagar,Rajbagh,1723,2,3,0,8,Builder Floor,Semi-Furnished,4,26,10830000.0
Kerala,Thiruvananthapuram,Pattom,1691,2,1,3,2,Apartment,Semi-Furnished,22,23,10963000.0
Maharashtra,Mumbai,Dadar,941,5,4,2,1,Apartment,Unfurnished,4,20,19819000.0
Rajasthan,Udaipur,Fatehpura,1152,1,2,3,0,Independent House,Semi-Furnished,23,24,8677000.0
Karnataka,Mysuru,Gokulam,1192,4,4,0,0,Builder Floor,Semi-Furnished,16,17,7019000.0
Punjab,Chandigarh,Sector 35,1731,3,2,1,8,Villa,Furnished,2,8,19811000.0
Jammu and Kashmir,Srinagar,Jawahar Nagar,2364,4,3,2,12,Builder Floor,Unfurnished,15,16,11057000.0
Maharashtra,Nagpur,Civil Lines,1046,1,1,1,25,Apartment,Unfurnished,23,24,5190000.0
Gujarat,Ahmedabad,Navrangpura,1655,2,2,0,1,Villa,Unfurnished,15,16,22860000.0
Karnataka,Mysuru,Vijayanagar,1945,4,5,0,18,Apartment,Unfurnished,5,17,7961000.0
Uttar Pradesh,Noida,Sector 18,561,4,5,3,1,Independent House,Semi-Furnished,15,16,6965000.0
Rajasthan,Jaipur,C Scheme,871,3,3,1,5,Apartment,Unfurnished,19,26,6109000.0
Arunachal Pradesh,Itanagar,Naharlagun,1745,2,3,1,1,Independent House,Unfurnished,18,19,6603000.0
Chhattisgarh,Raipur,Civil Lines,1776,4,4,2,5,Apartment,Semi-Furnished,22,23,8888000.0
West Bengal,Kolkata,Park Street,1063,2,3,0,2,Apartment,Semi-Furnished,24,25,18657000.0
Karnataka,Bengaluru,Whitefield,1211,3,4,1,5,Villa,Semi-Furnished,6,14,13229000.0
Haryana,Gurugram,DLF Phase 1,1402,2,3,1,8,Independent House,Semi-Furnished,3,24,21934000.0
Himachal Pradesh,Shimla,Sanjauli,1235,2,2,1,5,Apartment,Unfurnished,7,22,6540000.0
Maharashtra,Mumbai,Dadar,1717,2,1,3,12,Apartment,Semi-Furnished,23,24,47088000.0
Maharashtra,Pune,Hinjewadi,699,1,1,1,2,Builder Floor,Furnished,18,19,5484000.0
Chhattisgarh,Raipur,Shankar Nagar,729,2,1,2,1,Apartment,Furnished,16,27,4961000.0
Haryana,Faridabad,Greenfield Colony,989,5,4,2,5,Builder Floor,Unfurnished,15,18,4482000.0
Gujarat,Surat,Vesu,371,4,4,1,2,Apartment,Unfurnished,14,27,2528000.0
Mizoram,Aizawl,Dawrpui,1100,5,6,1,1,Independent House,Semi-Furnished,22,23,5333000.0
Assam,Guwahati,Beltola,1508,4,4,1,2,Apartment,Unfurnished,17,18,8351000.0
Maharashtra,Nagpur,Dharampeth,1134,3,2,1,2,Apartment,Semi-Furnished,1,6,6716000.0
Uttar Pradesh,Noida,Sector 62,850,2,2,0,1,Independent House,Unfurnished,13,14,6740000.0
Nagaland,Kohima,Midland,808,1,1,2,0,Apartment,Unfurnished,15,16,2684000.0
Uttarakhand,Dehradun,Rajpur Road,844,2,2,0,12,Apartment,Furnished,6,11,6703000.0
Delhi,New Delhi,Karol Bagh,1523,1,1,2,8,Apartment,Semi-Furnished,3,26,22302000.0
Andhra Pradesh,Vijayawada,Auto Nagar,1044,2,2,1,0,Independent House,Semi-Furnished,2,20,4010000.0
Gujarat,Surat,City Light,388,3,3,3,5,Independent House,Furnished,24,25,3061000.0
Tamil Nadu,Coimbatore,RS Puram,902,5,4,2,0,Builder Floor,Furnished,0,14,6559000.0
Jammu and Kashmir,Srinagar,Rajbagh,2488,3,3,1,25,Apartment,Semi-Furnished,24,25,14148000.0
Telangana,Hyderabad,Kondapur,1685,5,6,2,1,Builder Floor,Unfurnished,1,2,13901000.0
Jammu and Kashmir,Srinagar,Rajbagh,1880,1,1,2,2,Apartment,Semi-Furnished,3,15,13707000.0
Uttar Pradesh,Noida,Sector 18,666,5,6,1,25,Apartment,Semi-Furnished,24,26,5544000.0
Chandigarh,Chandigarh City,Sector 21,1312,4,4,2,18,Apartment,Unfurnished,14,20,8702000.0
Uttar Pradesh,Noida,Sector 137,1627,3,4,1,12,Independent House,Semi-Furnished,24,25,12813000.0
Nagaland,Kohima,Dimapur Road,1375,4,4,1,2,Apartment,Semi-Furnished,21,22,4016000.0
Bihar,Patna,Boring Road,2078,2,1,2,12,Builder Floor,Furnished,13,16,13039000.0
Uttarakhand,Dehradun,Rajpur Road,793,2,2,1,8,Apartment,Furnished,16,17,6449000.0
Jharkhand,Ranchi,Harmu,1379,3,3,2,12,Apartment,Unfurnished,16,17,5957000.0
Sikkim,Gangtok,MG Marg,1995,4,4,0,18,Independent House,Unfurnished,16,17,14335000.0
Rajasthan,Jaipur,Malviya Nagar,1915,2,1,0,1,Independent House,Furnished,21,22,14901000.0
Meghalaya,Shillong,Police Bazar,1340,3,3,0,18,Builder Floor,Semi-Furnished,7,25,5841000.0
Manipur,Imphal,Lamphelpat,1703,3,3,1,8,Villa,Unfurnished,22,23,6205000.0
Punjab,Chandigarh,Sector 35,760,3,4,1,0,Apartment,Furnished,6,11,8832000.0
Chandigarh,Chandigarh City,Sector 21,1662,5,4,2,12,Independent House,Semi-Furnished,8,20,16341000.0
Tamil Nadu,Chennai,T Nagar,830,3,2,1,8,Villa,Unfurnished,1,12,13915000.0
Jharkhand,Ranchi,Kanke Road,1522,2,2,0,1,Independent House,Unfurnished,4,11,6856000.0
Nagaland,Kohima,Dimapur Road,1341,1,1,3,12,Apartment,Unfurnished,3,5,4055000.0
Chandigarh,Chandigarh City,Sector 9,1221,2,2,2,1,Villa,Semi-Furnished,8,9,21464000.0
Odisha,Bhubaneswar,Chandrasekharpur,1463,1,1,1,5,Apartment,Furnished,10,11,8153000.0
Himachal Pradesh,Shimla,Chhota Shimla,888,2,2,1,18,Apartment,Unfurnished,14,29,4445000.0
Gujarat,Ahmedabad,Satellite,1306,2,2,3,1,Apartment,Unfurnished,24,25,10505000.0
Karnataka,Bengaluru,Electronic City,1474,2,3,1,5,Apartment,Semi-Furnished,6,16,10614000.0
Goa,Margao,Fatorda,656,2,2,0,0,Villa,Unfurnished,15,16,6792000.0
Haryana,Faridabad,Sector 15,1251,4,4,2,5,Independent House,Unfurnished,14,28,7792000.0
Uttarakhand,Dehradun,Race Course,1540,1,1,2,5,Apartment,Semi-Furnished,13,25,10582000.0
Bihar,Patna,Kankarbagh,1421,4,4,1,5,Apartment,Unfurnished,16,27,6118000.0
Chandigarh,Chandigarh City,Sector 44,350,5,5,0,12,Independent House,Semi-Furnished,24,25,3107000.0
Karnataka,Bengaluru,Electronic City,1334,2,3,2,2,Apartment,Semi-Furnished,14,15,10583000.0
Maharashtra,Pune,Kothrud,1521,3,3,1,5,Independent House,Semi-Furnished,22,29,15431000.0
Rajasthan,Jaipur,Malviya Nagar,586,2,3,1,1,Independent House,Unfurnished,18,22,4106000.0
Haryana,Faridabad,Greenfield Colony,1617,3,3,1,12,Apartment,Unfurnished,11,16,7806000.0
Karnataka,Mysuru,Kuvempunagar,1328,2,2,2,8,Apartment,Unfurnished,13,25,6638000.0
Andaman and Nicobar Islands,Port Blair,Aberdeen Bazaar,452,2,3,1,25,Independent House,Unfurnished,4,5,1905000.0
Rajasthan,Udaipur,Hiran Magri,1317,1,2,0,0,Apartment,Unfurnished,9,18,6683000.0
Karnataka,Mysuru,Kuvempunagar,1070,1,1,1,8,Villa,Unfurnished,15,29,6788000.0
Karnataka,Bengaluru,Indiranagar,506,2,2,3,12,Builder Floor,Furnished,15,17,7720000.0
Rajasthan,Udaipur,Fatehpura,1302,2,3,2,2,Builder Floor,Unfurnished,17,18,8271000.0
Andhra Pradesh,Visakhapatnam,Dwaraka Nagar,1610,3,4,2,5,Independent House,Semi-Furnished,4,5,9207000.0
Jammu and Kashmir,Srinagar,Jawahar Nagar,705,3,4,3,5,Builder Floor,Unfurnished,22,23,3595000.0
Uttarakhand,Dehradun,Vasant Vihar,1200,2,2,2,8,Apartment,Semi-Furnished,11,12,7419000.0
Madhya Pradesh,Indore,Vijay Nagar,1617,5,6,1,0,Apartment,Unfurnished,7,23,11355000.0
Tamil Nadu,Chennai,Adyar,706,3,4,2,8,Apartment,Unfurnished,22,23,9984000.0
Gujarat,Surat,Adajan,1385,2,3,1,8,Builder Floor,Semi-Furnished,0,29,7528000.0
Haryana,Faridabad,Sector 15,1775,5,4,0,2,Apartment,Unfurnished,8,21,11105000.0
Chandigarh,Chandigarh City,Sector 9,789,1,2,1,12,Apartment,Unfurnished,16,17,8052000.0
West Bengal,Kolkata,Howrah,1716,2,2,1,5,Villa,Furnished,2,27,13110000.0
Tamil Nadu,Chennai,OMR,1858,1,1,3,12,Independent House,Semi-Furnished,24,25,14831000.0
Lakshadweep,Kavaratti,Kavaratti Town,660,4,3,1,5,Villa,Semi-Furnished,0,2,3387000.0
Chandigarh,Chandigarh City,Sector 9,713,4,4,2,8,Independent House,Semi-Furnished,1,6,9103000.0
Rajasthan,Udaipur,Hiran Magri,350,4,5,1,12,Independent House,Furnished,15,16,1751000.0
Nagaland,Kohima,Midland,404,2,1,1,2,Apartment,Unfurnished,21,22,1231000.0
Gujarat,Surat,Adajan,1949,1,1,3,8,Apartment,Furnished,15,26,11891000.0
Andhra Pradesh,Vijayawada,Benz Circle,1274,2,1,2,5,Apartment,Furnished,20,21,7364000.0
Maharashtra,Nagpur,Dharampeth,1728,3,2,2,12,Apartment,Unfurnished,24,25,9649000.0
Tamil Nadu,Chennai,Anna Nagar,350,3,2,3,12,Builder Floor,Semi-Furnished,17,18,3499000.0
Lakshadweep,Kavaratti,Kavaratti Town,1162,2,2,2,2,Apartment,Semi-Furnished,11,12,5712000.0
Nagaland,Kohima,Dimapur Road,954,3,2,3,25,Apartment,Semi-Furnished,7,8,2509000.0
Tamil Nadu,Coimbatore,Saibaba Colony,1661,3,4,0,18,Apartment,Semi-Furnished,11,23,9947000.0
Delhi,New Delhi,Dwarka,882,3,2,2,2,Apartment,Unfurnished,16,17,10982000.0
Meghalaya,Shillong,Police Bazar,1977,5,5,2,12,Apartment,Unfurnished,10,28,9844000.0
Gujarat,Surat,Vesu,1198,2,3,0,12,Villa,Unfurnished,21,22,8784000.0
Maharashtra,Pune,Viman Nagar,712,1,1,1,8,Independent House,Semi-Furnished,24,25,8230000.0
Karnataka,Mysuru,Gokulam,1822,2,2,2,5,Builder Floor,Semi-Furnished,6,7,9566000.0
Odisha,Bhubaneswar,Chandrasekharpur,927,2,1,1,18,Apartment,Unfurnished,11,12,3795000.0
Nagaland,Kohima,Dimapur Road,1095,3,4,3,8,Independent House,Semi-Furnished,9,29,3834000.0
Karnataka,Mysuru,Kuvempunagar,933,2,1,3,5,Builder Floor,Semi-Furnished,17,18,5259000.0
Goa,Margao,Borda,700,2,2,1,5,Apartment,Semi-Furnished,23,24,4651000.0
Jammu and Kashmir,Jammu,Gandhi Nagar,1635,1,1,1,2,Apartment,Unfurnished,10,11,10201000.0
Gujarat,Surat,City Light,1227,4,4,1,1,Apartment,Semi-Furnished,2,14,8746000.0
Sikkim,Gangtok,Tadong,350,4,5,1,12,Independent House,Unfurnished,12,19,2026000.0
Manipur,Imphal,Lamphelpat,540,2,2,2,5,Independent House,Unfurnished,22,23,1627000.0
Tamil Nadu,Chennai,Velachery,903,2,3,2,1,Apartment,Semi-Furnished,22,23,8519000.0
Uttar Pradesh,Noida,Sector 18,612,3,3,3,5,Apartment,Unfurnished,17,18,5789000.0
Maharashtra,Pune,Viman Nagar,1424,3,2,2,0,Apartment,Furnished,8,29,15850000.0
Andaman and Nicobar Islands,Port Blair,Haddo,759,3,4,1,5,Apartment,Semi-Furnished,22,23,3878000.0
Punjab,Ludhiana,Model Town,1103,2,2,1,2,Independent House,Semi-Furnished,6,24,7929000.0
Chhattisgarh,Raipur,Civil Lines,559,5,4,3,8,Independent House,Semi-Furnished,13,14,2945000.0
Gujarat,Surat,Adajan,1572,2,2,1,1,Apartment,Semi-Furnished,22,23,9786000.0
Gujarat,Ahmedabad,Satellite,1799,2,3,1,0,Apartment,Unfurnished,18,28,15254000.0
Delhi,New Delhi,Karol Bagh,879,4,5,3,2,Builder Floor,Unfurnished,21,28,13445000.0
Andhra Pradesh,Vijayawada,Governorpet,1702,2,2,2,2,Builder Floor,Unfurnished,14,28,7679000.0
Madhya Pradesh,Bhopal,MP Nagar,1480,2,2,2,8,Apartment,Unfurnished,9,26,8370000.0
Arunachal Pradesh,Itanagar,Chandranagar,1314,2,1,0,0,Independent House,Semi-Furnished,0,18,4504000.0
Bihar,Patna,Bailey Road,468,1,1,1,25,Apartment,Unfurnished,4,21,2440000.0
Kerala,Thiruvananthapuram,Kowdiar,1088,5,5,2,1,Apartment,Semi-Furnished,10,12,8800000.0
Odisha,Bhubaneswar,Patia,1744,3,2,2,2,Apartment,Unfurnished,21,22,8755000.0
Karnataka,Mysuru,Gokulam,512,2,2,1,8,Apartment,Furnished,5,20,2987000.0
Delhi,New Delhi,Saket,1518,1,1,2,5,Independent House,Unfurnished,7,8,23481000.0
Karnataka,Bengaluru,Hebbal,350,3,3,1,12,Builder Floor,Furnished,23,27,2201000.0
Tamil Nadu,Chennai,Velachery,1497,1,1,2,2,Apartment,Unfurnished,17,25,11623000.0
Karnataka,Bengaluru,Hebbal,1072,1,2,1,5,Apartment,Semi-Furnished,2,24,8573000.0
Karnataka,Bengaluru,Hebbal,1144,3,3,2,2,Builder Floor,Unfurnished,7,8,7430000.0
Meghalaya,Shillong,Laitumkhrah,1031,3,4,1,8,Apartment,Semi-Furnished,15,21,5754000.0
Puducherry,Puducherry City,Reddiarpalayam,1393,4,3,2,8,Apartment,Unfurnished,1,12,5274000.0
Karnataka,Bengaluru,Electronic City,367,4,4,2,18,Builder Floor,Unfurnished,19,20,1893000.0
Tamil Nadu,Coimbatore,RS Puram,674,3,2,3,12,Villa,Semi-Furnished,4,19,5657000.0
Goa,Panaji,Miramar,1489,5,6,1,1,Builder Floor,Semi-Furnished,15,17,19439000.0
Madhya Pradesh,Indore,Palasia,350,4,3,2,8,Independent House,Semi-Furnished,19,21,2538000.0
Himachal Pradesh,Shimla,Chhota Shimla,699,3,3,1,5,Apartment,Unfurnished,16,18,4688000.0
Himachal Pradesh,Shimla,Chhota Shimla,350,3,2,1,0,Apartment,Unfurnished,17,27,2627000.0
Maharashtra,Nagpur,Civil Lines,516,2,2,2,18,Builder Floor,Furnished,24,27,3305000.0
Delhi,New Delhi,Saket,1614,3,3,2,0,Apartment,Unfurnished,8,10,32696000.0
Arunachal Pradesh,Itanagar,Ganga Market,350,2,2,0,2,Apartment,Semi-Furnished,19,20,1635000.0
Madhya Pradesh,Indore,Vijay Nagar,1864,2,1,1,1,Apartment,Semi-Furnished,1,21,11384000.0
Uttarakhand,Dehradun,Vasant Vihar,1092,4,4,1,1,Apartment,Furnished,11,12,8476000.0
Maharashtra,Pune,Wakad,1576,2,2,1,0,Apartment,Semi-Furnished,13,14,13371000.0
Arunachal Pradesh,Itanagar,Naharlagun,1916,4,5,3,25,Villa,Furnished,2,20,6950000.0
Tamil Nadu,Chennai,Adyar,1107,5,5,3,5,Apartment,Unfurnished,4,9,17348000.0
Karnataka,Bengaluru,Electronic City,2198,4,4,3,1,Apartment,Unfurnished,1,21,17019000.0
Maharashtra,Mumbai,Dadar,776,4,5,1,8,Apartment,Unfurnished,5,27,20430000.0
Madhya Pradesh,Indore,Rau,828,4,4,2,5,Apartment,Furnished,11,22,3793000.0
Bihar,Patna,Boring Road,463,2,2,1,12,Builder Floor,Unfurnished,3,17,2890000.0
Tamil Nadu,Coimbatore,Peelamedu,1899,4,4,2,8,Apartment,Semi-Furnished,12,22,9829000.0
Mizoram,Aizawl,Chanmari,1276,3,3,2,8,Builder Floor,Unfurnished,3,11,3881000.0
Rajasthan,Udaipur,Fatehpura,350,5,4,1,8,Villa,Semi-Furnished,5,6,2836000.0
Arunachal Pradesh,Itanagar,Naharlagun,535,3,2,3,8,Apartment,Semi-Furnished,13,14,1810000.0
Delhi,New Delhi,Saket,1304,4,4,2,5,Independent House,Semi-Furnished,19,20,31207000.0
Nagaland,Kohima,Dimapur Road,1189,3,4,1,12,Apartment,Semi-Furnished,9,14,3885000.0
Kerala,Kochi,Marine Drive,1549,3,4,1,1,Apartment,Unfurnished,11,12,18121000.0
Meghalaya,Shillong,Police Bazar,1456,2,2,1,2,Independent House,Semi-Furnished,24,25,9851000.0
Chhattisgarh,Raipur,Telibandha,1783,1,1,0,2,Apartment,Semi-Furnished,3,17,7174000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Moti Daman,903,3,3,2,8,Builder Floor,Unfurnished,1,3,4026000.0
Andhra Pradesh,Vijayawada,Governorpet,1110,3,3,1,8,Builder Floor,Unfurnished,7,8,4950000.0
Maharashtra,Mumbai,Bandra,1273,2,1,1,5,Apartment,Furnished,4,23,43358000.0
Andhra Pradesh,Vijayawada,Governorpet,1069,5,6,2,12,Apartment,Semi-Furnished,13,17,4672000.0
Uttar Pradesh,Noida,Sector 62,1837,2,1,1,0,Apartment,Unfurnished,0,11,15438000.0
Gujarat,Ahmedabad,Vastrapur,877,2,2,2,2,Apartment,Furnished,22,23,9995000.0
Assam,Guwahati,Khanapara,1095,1,2,1,1,Apartment,Semi-Furnished,0,7,4750000.0
Lakshadweep,Kavaratti,Kavaratti Town,591,2,3,1,18,Builder Floor,Unfurnished,23,25,1784000.0
Telangana,Hyderabad,Madhapur,1139,4,4,1,8,Apartment,Unfurnished,12,22,8162000.0
Manipur,Imphal,Lamphelpat,1434,4,4,2,1,Apartment,Unfurnished,10,11,4075000.0
Rajasthan,Udaipur,Hiran Magri,1194,4,3,2,12,Builder Floor,Unfurnished,11,24,4678000.0
Rajasthan,Jaipur,Vaishali Nagar,921,4,3,3,2,Independent House,Furnished,3,21,6026000.0
Maharashtra,Pune,Viman Nagar,2090,2,2,2,8,Independent House,Unfurnished,12,28,19755000.0
Uttar Pradesh,Kanpur,Swaroop Nagar,866,3,3,0,8,Apartment,Furnished,0,12,4158000.0
Tamil Nadu,Chennai,Velachery,1960,3,2,3,5,Builder Floor,Unfurnished,15,16,16192000.0
Telangana,Hyderabad,Gachibowli,1984,3,3,1,12,Apartment,Semi-Furnished,10,19,14483000.0
Maharashtra,Nagpur,Wardha Road,1748,4,4,1,5,Apartment,Semi-Furnished,14,27,9142000.0
Punjab,Ludhiana,Sarabha Nagar,1949,3,3,1,8,Independent House,Semi-Furnished,23,29,14608000.0
Jharkhand,Ranchi,Kanke Road,875,3,3,1,18,Independent House,Unfurnished,6,11,3086000.0
Uttar Pradesh,Kanpur,Swaroop Nagar,1296,2,2,2,5,Apartment,Semi-Furnished,14,15,6624000.0
Punjab,Chandigarh,Sector 35,1429,3,2,3,5,Builder Floor,Furnished,3,4,14047000.0
Jharkhand,Ranchi,Harmu,1358,2,2,0,8,Independent House,Furnished,17,18,7556000.0
Assam,Guwahati,Beltola,873,1,2,3,2,Apartment,Semi-Furnished,8,26,4589000.0
Ladakh,Leh,Skara,1712,2,2,2,2,Apartment,Unfurnished,17,18,6708000.0
